"person_id","name_first","name_last","Company Name","Company ID"
2804,"Ernest","Novak","A Schulman",947
10141,"James","Mitarotonda","A Schulman",947
10142,"Irvin","Reid","A Schulman",947
45804,"John","Yasinsky","A Schulman",947
91123,"Gregory","Barmore","A Schulman",947
91124,"Eugene","Allspach","A Schulman",947
91126,"Howard","Curd","A Schulman",947
91129,"Joseph","Gingo","A Schulman",947
91131,"Lee","Meyer","A Schulman",947
91132,"Michael","McManus","A Schulman",947
91133,"David","Birney","A Schulman",947
351,"Edward","Liddy","Abbott Laboratories",97
557,"Roxanne","Austin","Abbott Laboratories",97
828,"William","Osborn","Abbott Laboratories",97
1043,"W","Farrell","Abbott Laboratories",97
1055,"Miles","White","Abbott Laboratories",97
1066,"Samuel","Scott","Abbott Laboratories",97
1348,"Phebe","Novakovic","Abbott Laboratories",97
1426,"Glenn","Tilton","Abbott Laboratories",97
28491,"Robert","Alpern","Abbott Laboratories",97
65215,"Nancy","Mckinstry","Abbott Laboratories",97
88461,"Sally","Blount","Abbott Laboratories",97
215,"John","Kessler","Abercrombie & Fitch",580
7256,"Archie","Griffin","Abercrombie & Fitch",580
7259,"Michael","Jeffries","Abercrombie & Fitch",580
7261,"James","Bachmann","Abercrombie & Fitch",580
7263,"Lauren","Brisky","Abercrombie & Fitch",580
8247,"Michael","Greenlees","Abercrombie & Fitch",580
29118,"Craig","Stapleton","Abercrombie & Fitch",580
47680,"Elizabeth","Lee","Abercrombie & Fitch",580
89921,"Kevin","Huvane","Abercrombie & Fitch",580
7096,"Richard","Evans","AbitibiBowater",565
7098,"David","Paterson","AbitibiBowater",565
7100,"Paul","Rivett","AbitibiBowater",565
7108,"John","Weaver","AbitibiBowater",565
89885,"Bradley","Martin","AbitibiBowater",565
89891,"Richard","Garneau","AbitibiBowater",565
89892,"Richard","Falconer","AbitibiBowater",565
89894,"David","Wilkins","AbitibiBowater",565
89896,"Jeffrey","Hearn","AbitibiBowater",565
89897,"Alain","Rheaume","AbitibiBowater",565
89898,"Michael","Rousseau","AbitibiBowater",565
646,"Maryellen","Herringer","ABM Industries",707
3357,"Anthony","Fernandes","ABM Industries",707
8179,"Daniel","Bane","ABM Industries",707
8519,"Henrik","Slipsager","ABM Industries",707
8520,"William","Steele","ABM Industries",707
8521,"Linda","Chavez","ABM Industries",707
8522,"Henry","Kotkins","ABM Industries",707
8523,"Luke","Helms","ABM Industries",707
8526,"Theodore","Rosenberg","ABM Industries",707
47199,"Phil","Ferguson","ABM Industries",707
85870,"Sudhakar","Kesavan","ABM Industries",707
3076,"Norman","Wesley","ACCO Brands",910
4634,"Robert","Jenkins","ACCO Brands",910
4655,"E","Rajkowski","ACCO Brands",910
4656,"James","Buzzard","ACCO Brands",910
6320,"Kathleen","Dvorak","ACCO Brands",910
10823,"G","Hargrove","ACCO Brands",910
10824,"George","Bayly","ACCO Brands",910
10825,"Robert","Keller","ACCO Brands",910
10832,"David","Campbell","ACCO Brands",910
90962,"Sheila","Talton","ACCO Brands",910
90963,"Thomas","Kroeger","ACCO Brands",910
