838 to 5116,"Pitney-Bowes, Inc."
2904 to 7869,Georgia Gulf Corporation
327 to 4459,Eastman Chemical
5303 to 5306,Avis Budget Group
3244 to 6434,Acuity Brands
5303 to 5304,Avis Budget Group
5303 to 5305,Avis Budget Group
3244 to 6433,Acuity Brands
5555 to 89514,Newmont Mining Corporation
1225 to 1229,Northrop Grumman Corporation
3519 to 3521,Aon
3287 to 3290,Progress Energy
5303 to 5308,Avis Budget Group
3519 to 3522,Aon
409 to 88147,Hewlett-Packard
5251 to 5259,Wesco International
48111 to 48112,CME Group
9977 to 90718,Ralcorp Holdings
48111 to 48116,CME Group
47813 to 89596,NVR
8647 to 8730,Beckman Coulter
5490 to 5497,The Shaw Group Inc
5175 to 10378,Stewart Information Services
185 to 400,McDonald's Corporation
9520 to 48170,Arch Coal
9520 to 48171,Arch Coal
8093 to 45799,CMS Energy
8657 to 8660,Pride International
1249 to 11748,Genworth Financial
2515 to 4999,Sun Microsystems
5303 to 5307,Avis Budget Group
2689 to 2695,PG&E Corp
2689 to 2694,PG&E Corp
5555 to 89511,Newmont Mining Corporation
2359 to 3344,Unum Group
2359 to 3346,Unum Group
2359 to 3347,Unum Group
4563 to 43864,PPL
2359 to 3342,Unum Group
2359 to 3343,Unum Group
717 to 43329,Hess Corporation
2359 to 3348,Unum Group
2359 to 3349,Unum Group
4974 to 88754,The Hillshire Brands Company
3368 to 27173,Lexmark International
10283 to 80027,King Pharmaceuticals
2170 to 88610,"Arrow Electronics, Inc."
7216 to 9129,Lam Research
1225 to 1227,Northrop Grumman Corporation
5030 to 89382,Hormel Foods
5030 to 89383,Hormel Foods
2616 to 2630,"SunTrust Banks, Inc."
5764 to 5765,Barnes & Noble
2811 to 36375,KeyCorp
88944 to 88946,Apache Corporation
5718 to 5720,"Foot Locker, PepsiAmericas"
5718 to 5721,Foot Locker
8922 to 8924,Mylan
5718 to 5724,Foot Locker
3800 to 5545,Ikon Office Solutions
3287 to 3291,Progress Energy
2309 to 47838,Rock-Tenn
5764 to 5766,Barnes & Noble
9000 to 13144,WGL Holdings
1704 to 43706,Ecolab Inc.
3287 to 3293,Progress Energy
63 to 3179,"Marriott International, Inc."
3287 to 3292,Progress Energy
5994 to 47941,NVR
7078 to 7080,SanDisk
8463 to 81388,United Services Automobile Assn
7078 to 7082,SanDisk
3428 to 9028,TD Ameritrade Holding Corporation
35559 to 51409,"BlackRock, Inc."
2377 to 5532,Masco
8463 to 81387,United Services Automobile Assn
8463 to 81386,United Services Automobile Assn
3356 to 3363,Baker Hughes Incorporated
830 to 1083,Kellogg Company
3356 to 3366,Baker Hughes Incorporated
3356 to 3364,Baker Hughes Incorporated
3356 to 3365,Baker Hughes Incorporated
621 to 3363,Baker Hughes Incorporated
10237 to 10239,Equity Residential
621 to 3366,Baker Hughes Incorporated
621 to 3365,Baker Hughes Incorporated
621 to 3364,Baker Hughes Incorporated
2674 to 5743,Precision Castparts
43368 to 73324,Citigroup Inc.
7411 to 7419,"Harman International Industries, Incorporated"
4516 to 4522,CH Robinson Worldwide
4516 to 4520,CH Robinson Worldwide
4516 to 4521,CH Robinson Worldwide
8134 to 8136,"American Eagle Outfitters, Inc."
362 to 1463,Morgan Stanley
4034 to 9850,Lincoln Electric Holdings
2375 to 45000,Amgen
7153 to 42531,"Trinity Industries, Inc."
28341 to 46316,Universal American
409 to 88149,Hewlett-Packard
4034 to 9853,Lincoln Electric Holdings
2804 to 88777,FirstEnergy Corp.
413 to 44176,IBM
4662 to 90485,HUBBELL INCORPORATED
8187 to 43831,New Jersey Resources
1168 to 2317,Paccar
1484 to 1487,Deere & Company
334 to 3519,Aon
334 to 3518,Aon
334 to 3517,Aon
334 to 3516,Aon
659 to 668,United Technologies Corporation
334 to 3513,Aon
334 to 3512,Aon
127 to 4611,Estee Lauder
127 to 4610,Estee Lauder
328 to 2496,Ingredion Incorporated
876 to 10503,Lear
1507 to 1517,Countrywide Financial Corp.
3207 to 88874,DISH Network
1507 to 1510,Countrywide Financial Corp.
1507 to 1512,Countrywide Financial Corp.
90523 to 90526,EW Scripps
90523 to 90527,EW Scripps
2424 to 8587,NRG Energy
47020 to 47022,Old Republic International
7484 to 12828,Torchmark Corporation
11645 to 11648,"B/E Aerospace, Inc."
8367 to 90983,MEMC Electronic Materials
8367 to 90984,MEMC Electronic Materials
1660 to 49074,"T. Rowe Price Group, Inc."
5129 to 44831,Republic Services
5462 to 5467,Marshall & Ilsley Corp
5462 to 5466,Marshall & Ilsley Corp
5462 to 5464,Marshall & Ilsley Corp
2760 to 30390,Edison International
4234 to 43329,Hess Corporation
48068 to 48079,Sally Beauty Holdings
48068 to 48076,Sally Beauty Holdings
48068 to 48074,Sally Beauty Holdings
28341 to 46318,Universal American
48068 to 48073,Sally Beauty Holdings
5462 to 5469,Marshall & Ilsley Corp
5462 to 5468,Marshall & Ilsley Corp
28317 to 43368,Citigroup Inc.
6571 to 89764,Steel Dynamics
3513 to 8248,Aon
28317 to 43367,Citigroup Inc.
28317 to 43365,Citigroup Inc.
45063 to 50428,Land O Lakes Inc.
45063 to 50429,Land O Lakes Inc.
4313 to 10659,"The Laclede Group, Inc."
4313 to 10658,"The Laclede Group, Inc."
10178 to 30997,Magellan Health Services
4313 to 10656,"The Laclede Group, Inc."
4313 to 10654,"The Laclede Group, Inc."
45063 to 50424,Land O Lakes Inc.
45063 to 50425,Land O Lakes Inc.
45063 to 50426,Land O Lakes Inc.
45063 to 50427,Land O Lakes Inc.
1337 to 1853,"The TJX Companies, Inc."
322 to 6904,"Cardinal Health, Inc."
1337 to 1855,"The TJX Companies, Inc."
4997 to 5000,Safeco
1337 to 1859,"The TJX Companies, Inc."
1337 to 1858,"The TJX Companies, Inc."
11383 to 11395,CME Group
11383 to 11394,CME Group
11383 to 11397,CME Group
11383 to 11396,CME Group
11383 to 11391,CME Group
11383 to 11390,CME Group
11383 to 11393,CME Group
80 to 43330,ConocoPhillips
11383 to 11399,CME Group
11383 to 11398,CME Group
2266 to 6695,USEC
7355 to 44298,Bemis
672 to 11797,Walgreen Co.
46958 to 46959,Cincinnati Financial
5322 to 5323,Ross Stores
5966 to 46377,HollyFrontier Corporation
867 to 89684,"Chiquita Brands International, Inc."
294 to 295,Verizon
48840 to 48841,Quiksilver
867 to 89682,"Chiquita Brands International, Inc."
6483 to 6491,M&T Bank Corporation
6483 to 6490,M&T Bank Corporation
6483 to 6493,M&T Bank Corporation
6483 to 6492,M&T Bank Corporation
3179 to 13718,"Marriott International, Inc."
294 to 298,Verizon
1813 to 3551,Staples
9666 to 90626,Cabela's Corporation
2317 to 3654,Paccar
2700 to 44564,PG&E Corp
3920 to 4034,"Legg Mason, Inc."
1822 to 1834,Capital One Financial Corporation
1822 to 1830,Capital One Financial Corporation
3327 to 88909,BB&T Corporation
5499 to 5502,The Shaw Group Inc
5499 to 5501,The Shaw Group Inc
7440 to 7445,Pinnacle West Capital
6011 to 6016,"Fiserv, Inc."
91147 to 91149,Alexander & Baldwin Inc.
6011 to 6012,"Fiserv, Inc."
6011 to 6018,"Fiserv, Inc."
10269 to 90698,Ametek
6504 to 49499,Synovus Financial Corp
5100 to 7861,Harley-Davidson
5694 to 5699,Western Digital Corporation
6116 to 46272,Telephone & Data Systems
90721 to 90722,E*TRADE Financial Corporation
35145 to 90231,Icahn Enterprises L.P.
35145 to 90230,Icahn Enterprises L.P.
4788 to 4799,Whole Foods Market
28072 to 88639,Office Depot
7691 to 7695,Vulcan Materials
2373 to 45000,Amgen
2695 to 10866,PG&E Corp
7440 to 7442,Pinnacle West Capital
7875 to 90085,Valspar
6765 to 6777,Dollar Tree
508 to 6310,AmerisourceBergen
6765 to 6774,Dollar Tree
380 to 3754,"Automatic Data Processing, Inc."
4520 to 45452,CH Robinson Worldwide
6765 to 6771,Dollar Tree
380 to 3757,"Automatic Data Processing, Inc."
380 to 3758,"Automatic Data Processing, Inc."
2119 to 9667,Union Pacific Corporation
1673 to 2305,"SunTrust Banks, Inc."
8831 to 90373,Tractor Supply
7448 to 28932,Pinnacle West Capital
413 to 51669,The Procter & Gamble Company
1165 to 8768,Yahoo! Inc.
4960 to 10872,Pool
8169 to 8175,Ryland Group
1825 to 3076,Beam Inc.
3067 to 3080,RR Donnelley & Sons
8169 to 8172,Ryland Group
775 to 26537,Pfizer Inc.
8169 to 8170,Ryland Group
5929 to 43838,USG
8371 to 8376,Benchmark Electronics
2689 to 2698,PG&E Corp
10038 to 10042,Martin Marietta Materials
8371 to 8372,Benchmark Electronics
8371 to 8373,Benchmark Electronics
3363 to 3366,Baker Hughes Incorporated
3363 to 3364,Baker Hughes Incorporated
3363 to 3365,Baker Hughes Incorporated
3859 to 3865,SAIC
3859 to 3864,SAIC
7267 to 44982,Toro
3859 to 3869,SAIC
3980 to 31950,Alaska Air Group
4029 to 4034,Commercial Metals
5229 to 5237,Emcor Group
7985 to 9352,AGL Resources
5229 to 5235,Emcor Group
7985 to 9350,AGL Resources
5229 to 5232,Emcor Group
7985 to 9355,AGL Resources
5229 to 5230,Emcor Group
477 to 50277,State Farm Insurance Cos
3799 to 3813,Sallie Mae
5229 to 5238,Emcor Group
10005 to 90721,E*TRADE Financial Corporation
2944 to 45176,Devon Energy Corporation
10005 to 90722,E*TRADE Financial Corporation
2944 to 45178,Devon Energy Corporation
10904 to 44791,SunGard Data Systems Inc.
10378 to 10384,Stewart Information Services
10378 to 10385,Stewart Information Services
10378 to 10382,Stewart Information Services
1979 to 1983,Rite Aid
10378 to 10381,Stewart Information Services
8286 to 8290,Las Vegas Sands Corp.
8286 to 8291,Las Vegas Sands Corp.
8286 to 8293,Las Vegas Sands Corp.
9045 to 90428,Regis Corporation
707 to 708,Wells Fargo
8286 to 8296,Las Vegas Sands Corp.
707 to 709,Wells Fargo
1272 to 45612,Spectra Energy Corp.
7521 to 46947,Forest Laboratories
10838 to 26375,CACI International Inc
2253 to 80328,AFLAC Incorporated
971 to 1045,The Western Union Company
4393 to 45949,Dover Corporation
1835 to 88556,Exelon
2359 to 3341,Unum Group
6431 to 6432,Lubrizol
5765 to 28244,Barnes & Noble
6431 to 6434,Lubrizol
6431 to 6435,Lubrizol
18 to 7797,Great Plains Energy
18 to 7796,Great Plains Energy
18 to 7799,Great Plains Energy
18 to 7798,Great Plains Energy
2822 to 5279,ConAgra Foods Inc
1183 to 88392,Johnson Controls
3799 to 3811,Sallie Mae
1031 to 43916,Hess Corporation
3229 to 3934,Rohm & Haas
3229 to 3935,Rohm & Haas
3229 to 3937,Rohm & Haas
3229 to 3931,Rohm & Haas
3229 to 3932,Rohm & Haas
2838 to 32979,Electronic Arts
3920 to 9400,Wendy's International
8360 to 90270,"McCormick & Company, Incorporated"
6824 to 6825,Core-Mark Holding
3920 to 9406,Wendy's International
6824 to 6826,Core-Mark Holding
2911 to 11000,Jo Ann Stores
45862 to 45863,"Virgin Media, Inc."
198 to 2396,Progressive
7784 to 10430,"Oil States International, Inc."
6053 to 8368,"McCormick & Company, Incorporated"
6053 to 8362,"McCormick & Company, Incorporated"
6053 to 8360,"McCormick & Company, Incorporated"
596 to 8050,Dell Inc
50348 to 50349,Nationwide
9334 to 9335,Watson Pharmaceuticals
9334 to 9337,Watson Pharmaceuticals
7772 to 7776,Vornado Realty Trust
9326 to 10915,International Game Technology
10207 to 10732,Southwest Gas
5515 to 47341,Juniper Networks
1727 to 5064,Molson Coors Brewing Company
1626 to 44454,Ferro
9036 to 90417,TD Ameritrade Holding Corporation
6123 to 6124,Telephone & Data Systems
7236 to 43677,Flowserve
1896 to 45594,Honeywell International Inc.
5054 to 5070,Molson Coors Brewing Company
1272 to 1275,ALCOA INC
1272 to 1274,ALCOA INC
1460 to 1599,"Pitney-Bowes, Inc."
4778 to 4780,Bed Bath & Beyond Inc.
4778 to 4781,Bed Bath & Beyond Inc.
4778 to 4782,Bed Bath & Beyond Inc.
909 to 1837,Exelon
4778 to 4784,Bed Bath & Beyond Inc.
4778 to 4785,Bed Bath & Beyond Inc.
4778 to 4786,Bed Bath & Beyond Inc.
4314 to 4566,Crown Holdings
3419 to 4574,TECO Energy
8584 to 8588,"Mirant, Reliant Energy"
50433 to 50441,Land O Lakes Inc.
50433 to 50440,Land O Lakes Inc.
50433 to 50443,Land O Lakes Inc.
50433 to 50442,Land O Lakes Inc.
50433 to 50445,Land O Lakes Inc.
1243 to 10471,Hess Corporation
50433 to 50447,Land O Lakes Inc.
50433 to 50446,Land O Lakes Inc.
2419 to 4258,KeyCorp
1910 to 6735,RadioShack
1910 to 6737,RadioShack
2419 to 4252,KeyCorp
2419 to 4253,KeyCorp
5047 to 43694,NCR
880 to 89869,Chemtura Corporation
4 to 9,Walmart
6439 to 11357,Modine Manufacturing
6439 to 11355,Modine Manufacturing
86 to 4539,Western Refining
145 to 560,Target Corporation
5332 to 5336,"Mattel, Inc."
7808 to 48163,Molex
341 to 52381,Goldman Sachs
198 to 2392,Progressive
7279 to 7554,"American Electric Power Company, Inc."
2701 to 2977,PG&E Corp
6607 to 90607,HCC Insurance Holdings
6607 to 90608,HCC Insurance Holdings
11538 to 11539,Chico's FAS
43588 to 62086,Walgreen Co.
10570 to 10574,Source Interlink Companies Inc.
9668 to 9669,Cabela's Corporation
198 to 2393,Progressive
10570 to 10571,Source Interlink Companies Inc.
8687 to 8688,United Natural Foods
10570 to 10578,Source Interlink Companies Inc.
2125 to 14887,Union Pacific Corporation
809 to 812,Time Warner Inc.
5235 to 8651,Pride International
3624 to 4325,Applied Materials
4683 to 6954,Family Dollar Stores
198 to 2390,Progressive
10388 to 48732,Roper Industries
11138 to 11139,Public Storage
13433 to 13557,Berkshire Hathaway Inc.
31095 to 45020,Duke Energy Corporation
7538 to 47223,Alliant Energy
323 to 44548,"American Electric Power Company, Inc."
50334 to 50336,"CHS, Inc."
50334 to 50335,"CHS, Inc."
1468 to 9105,Corning Incorporated
4994 to 5000,Safeco
8379 to 8385,Snap-On
3363 to 45054,Baker Hughes Incorporated
185 to 1558,McDonald's Corporation
9181 to 9191,HNI
4901 to 42531,"Trinity Industries, Inc."
110 to 28779,Verizon
8922 to 8923,Mylan
3396 to 3397,Integrys Energy Group
319 to 2125,General Mills
8274 to 27078,Energy Future Holdings Corp.
3241 to 45015,Genuine Parts
3241 to 45017,Genuine Parts
5430 to 89489,Mosaic
21825 to 43416,AIG
62086 to 88224,Walgreen Co.
3057 to 3063,"US Airways Group, Inc."
3057 to 3062,"US Airways Group, Inc."
3057 to 3061,"US Airways Group, Inc."
3057 to 3060,"US Airways Group, Inc."
726 to 1468,"Automatic Data Processing, Inc."
185 to 1550,McDonald's Corporation
7729 to 90580,"The NASDAQ OMX Group, Inc"
7729 to 90583,"The NASDAQ OMX Group, Inc"
88754 to 88762,The Hillshire Brands Company
9045 to 90424,Regis Corporation
1609 to 3881,"American Electric Power Company, Inc."
7724 to 49067,Lithia Motors
4739 to 6657,"Legg Mason, Inc."
34718 to 46846,Blockbuster
34718 to 46847,Blockbuster
34718 to 46845,Blockbuster
5206 to 5207,Pantry
935 to 88906,Huntsman Corporation
5206 to 5208,Pantry
3605 to 8975,"Clear Channel Communications, Inc."
9727 to 48215,Weis Markets
