id,entity1_id,entity2_id,start_date,end_date
1,1006,1,2007-00-00,2010-06-00
2,1007,1,2005-00-00,NULL
3,1008,1,2006-00-00,NULL
4,1009,1,NULL,NULL
5,1010,1,2001-00-00,NULL
6,1011,1,2004-00-00,NULL
9,1109,1,2006-00-00,NULL
10,1014,1,2005-00-00,NULL
11,1015,1,1977-00-00,2009-06-00
14,1018,1,2003-00-00,NULL
15,1019,1,2006-00-00,NULL
16,1020,1,2005-00-00,NULL
17,1021,1,NULL,NULL
21,1024,1,NULL,NULL
22,1025,1,NULL,NULL
23,1026,1,1999-00-00,NULL
24,1026,1,NULL,NULL
25,1026,1,2005-00-00,2009-00-00
27,1028,1,NULL,NULL
28,1029,1,1978-00-00,NULL
29,1029,1,NULL,NULL
36,1033,2,2007-00-00,NULL
37,1034,2,NULL,NULL
38,1035,2,NULL,NULL
39,145046,2,2008-00-00,NULL
40,49416,2,2006-00-00,NULL
41,1038,2,1997-00-00,2010-00-00
42,15289,2,1991-00-00,2012-05-30
43,1040,2,2008-00-00,NULL
44,1041,2,1994-00-00,2009-00-00
45,1042,2,1996-00-00,NULL
46,1043,2,2005-00-00,NULL
47,1044,2,1998-00-00,2009-00-00
48,1045,2,2004-00-00,NULL
49,1045,2,NULL,NULL
50,1045,2,NULL,NULL
51,1046,2,NULL,NULL
52,1046,2,NULL,NULL
53,1047,3,1993-00-00,NULL
54,1048,3,1998-00-00,NULL
55,1049,3,2002-00-00,2009-04-01
56,1049,3,NULL,NULL
57,1050,3,2004-00-00,NULL
58,1051,3,2007-00-00,NULL
59,1052,3,2005-00-00,NULL
60,1053,3,2000-00-00,NULL
61,1054,3,1997-00-00,NULL
62,1055,3,1989-00-00,NULL
64,1057,3,1982-00-00,NULL
65,1058,3,2001-00-00,NULL
66,1059,3,2006-00-00,NULL
67,1060,3,2005-00-00,NULL
68,1061,3,NULL,NULL
75,1066,4,2007-00-00,NULL
76,1067,4,1998-00-00,NULL
77,1067,4,NULL,NULL
78,1067,4,NULL,NULL
84,1072,4,2004-00-00,NULL
85,1073,4,2003-00-00,NULL
86,1074,4,2002-00-00,NULL
87,1075,4,2005-00-00,2009-00-00
88,1076,4,1997-00-00,NULL
89,1077,4,1996-00-00,NULL
90,1078,4,1993-00-00,2009-00-00
91,1079,4,1996-00-00,NULL
92,1080,4,1996-00-00,NULL
93,1081,4,2007-00-00,NULL
94,1082,4,2003-00-00,NULL
95,1083,5,2002-00-00,NULL
96,1084,5,2006-00-00,NULL
97,1085,5,2002-00-00,NULL
98,1086,5,2002-00-00,NULL
99,1086,5,NULL,NULL
100,1086,5,NULL,NULL
101,1087,5,2005-00-00,NULL
102,1088,5,2004-00-00,NULL
103,1089,5,2005-00-00,NULL
104,1090,5,2002-00-00,NULL
110,1095,5,2006-00-00,NULL
111,1096,5,2002-00-00,NULL
112,1097,5,2002-00-00,NULL
113,1098,5,2002-00-00,NULL
114,1099,5,2002-00-00,NULL
115,1100,5,2006-00-00,NULL
118,1102,5,2002-00-00,NULL
119,1103,5,2002-00-00,NULL
120,1104,5,2002-00-00,NULL
123,1107,6,1998-00-00,NULL
124,1108,6,1993-00-00,NULL
125,1109,6,1997-00-00,NULL
126,1110,6,1992-00-00,NULL
127,1111,6,1994-00-00,NULL
128,1112,6,2000-00-00,NULL
129,1054,6,1997-00-00,NULL
130,1113,6,2006-00-00,NULL
131,1114,6,2002-00-00,NULL
132,1115,6,2005-00-00,NULL
133,1116,6,1999-00-00,NULL
134,1117,6,2004-00-00,2011-04-00
135,1118,6,2002-00-00,NULL
136,1119,6,2002-00-00,NULL
137,1086,6,NULL,NULL
142,1124,6,2000-00-00,NULL
143,1124,6,NULL,NULL
144,1124,6,NULL,NULL
146,1126,7,2000-00-00,NULL
147,1127,7,1988-00-00,NULL
148,1128,7,2004-00-00,NULL
149,1129,7,1997-00-00,NULL
150,1130,7,2001-00-00,NULL
151,1131,7,2007-00-00,NULL
152,1132,7,1987-00-00,NULL
153,1133,7,1996-00-00,NULL
154,1134,7,2000-00-00,NULL
155,1135,7,1988-00-00,NULL
156,1136,7,2003-00-00,NULL
159,1138,7,1988-00-00,NULL
160,1138,7,NULL,NULL
161,1138,7,NULL,NULL
162,1139,7,2006-00-00,NULL
163,1139,7,NULL,NULL
164,1139,7,NULL,NULL
170,1138,7,1988-00-00,NULL
171,1145,8,1998-00-00,2010-00-00
172,1146,8,NULL,NULL
173,1147,8,2004-00-00,NULL
